Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2013,22330,Fakulta potravinářské a biochemické technologie,1324,1324,1192,1192,1006,943,530,530
2013,22340,Fakulta chemicko-inženýrská,347,347,316,316,269,244,149,148
2013,22900,celoškolská pracoviště,53,53,53,53,53,53,52,52
2013,23000,Západočeská univerzita v Plzni,13954,11687,8859,7539,5802,4587,4038,3985
2013,23210,Fakulta strojní,899,691,890,685,654,649,571,571
2013,23220,Fakulta elektrotechnická,1348,1152,889,743,658,658,642,642
2013,23310,Fakulta zdravotnických studií,1656,1388,1264,1040,340,287,248,248
2013,23320,Fakulta právnická,497,446,497,446,136,136,90,90
2013,23330,Filozofická fakulta,2052,1509,1618,1189,868,743,581,575
2013,23410,Fakulta designu a umění L. Sutnara,574,517,460,407,189,184,161,161
2013,23420,Fakulta pedagogická,3155,2379,2562,1990,756,723,673,665
2013,23510,Fakulta ekonomická,2173,2005,1512,1381,701,701,608,608
2013,23520,Fakulta aplikovaných věd,1600,1600,809,809,1500,753,464,464
2013,24000,Technická univerzita v Liberci,6081,5435,4744,4320,3753,3203,2443,2408
2013,24210,Fakulta strojní,789,777,779,768,697,691,569,563
2013,24220,"Fakulta mechatroniky, informatiky a mezioborových studií",343,254,340,253,231,231,194,194
2013,24310,Ekonomická fakulta,1635,1341,1255,1015,807,647,427,426
2013,24410,Fakulta textilní,569,569,501,501,515,458,310,310
2013,24510,Fakulta přírodovědně-humanitní a pedagogická,2282,2084,1853,1716,1232,1065,728,715
2013,24520,Fakulta umění a architektury,216,184,202,178,54,53,46,45
2013,24900,celoškolská pracoviště,247,226,244,223,217,214,169,169
2013,25000,Univerzita Pardubice,7993,7626,6347,6077,4996,4373,3270,3267
2013,25110,Fakulta restaurování,32,25,30,25,12,12,11,11
2013,25210,Fakulta filozofická,1573,1305,1241,1026,853,754,560,559
2013,25310,Fakulta chemicko-technologická,1195,1195,1051,1051,936,872,570,570
2013,25410,Fakulta ekonomicko-správní,2002,2002,1509,1509,1208,954,628,628
2013,25510,Dopravní fakulta Jana Pernera,1530,1530,1469,1469,1125,1109,853,853
2013,25520,Fakulta zdravotnických studií,939,847,814,725,399,374,283,283
2013,25530,Fakulta elektrotechniky a informatiky,722,722,658,658,463,444,365,365
2013,26000,Vysoké učení technické v Brně,12054,10022,9765,8293,6950,6131,4929,4886
2013,26110,Fakulta stavební,2858,2463,2606,2273,2286,2172,1372,1371
2013,26210,Fakulta strojního inženýrství,2268,1742,2042,1577,1416,1286,1153,1152
2013,26220,Fakulta elektrotechniky a komunikačních technologií,1480,1179,1320,1055,994,896,806,801
2013,26230,Fakulta informačních technologií,906,719,906,719,460,460,449,449
2013,26310,Fakulta chemická,924,892,832,804,630,557,406,406
2013,26410,Fakulta architektury,418,364,418,364,98,98,77,77
2013,26420,Fakulta výtvarných umění,293,272,290,272,44,44,41,41
2013,26510,Fakulta podnikatelská,2907,2391,2395,1950,1022,880,625,621
2013,27000,Vysoká škola báňská - Technická univerzita Ostrava,8769,8289,7856,7525,6682,6281,5261,5230
2013,27120,Fakulta stavební,819,808,817,806,555,554,491,491
2013,27200,Fakulta bezpečnostního inženýrství,644,537,639,534,454,453,369,369
2013,27230,Fakulta strojní,922,605,902,605,579,579,579,579
2013,27240,Fakulta elektrotechniky a informatiky,1459,1447,1389,1380,1107,1063,905,905
2013,27350,Hornicko-geologická fakulta,1420,1410,1365,1355,1235,1192,1022,1019
2013,27360,Fakulta metalurgie a materiálového inženýrství,1024,1022,991,990,788,769,679,678
2013,27510,Ekonomická fakulta,2386,2386,2342,2342,1907,1872,1173,1173
2013,27900,celoškolská pracoviště,95,74,90,70,57,55,43,43
2013,28000,Univerzita Tomáše Bati ve Zlíně,8602,8091,6942,6555,4098,3620,3136,3093
2013,28110,Fakulta technologická,1028,1028,1001,1001,846,845,652,651
2013,28120,Fakulta managementu a ekonomiky,1797,1607,1490,1333,749,621,574,569
2013,28130,Fakulta multimediálních komunikací,1006,828,978,809,198,198,181,181
2013,28140,Fakulta aplikované informatiky,929,885,796,764,555,513,470,470
2013,28150,Fakulta humanitních studií,2896,2797,2539,2446,1027,943,852,845
2013,28160,Fakulta logistiky a krizového řízení,946,946,771,771,723,620,407,404
2013,31000,Vysoká škola ekonomická v Praze,10486,8279,7573,6248,3634,3275,2993,2930
2013,31110,Fakulta financí a účetnictví,1736,1487,1736,1487,423,423,412,412
2013,31120,Fakulta mezinárodních vztahů,2084,1643,2077,1641,739,739,620,620
2013,31130,Fakulta podnikohospodářská,2440,1931,2394,1890,619,614,449,449
2013,31140,Fakulta informatiky a statistiky,1843,1476,1710,1382,734,734,633,633
2013,31150,Národohospodářská fakulta,1652,1154,1629,1141,619,619,618,618
2013,31160,Fakulta managementu v Jindřichůvě Hradci,731,588,723,581,500,494,261,261
2013,41000,Česká zemědělská univerzita v Praze,16024,12610,12312,9970,8898,7564,6189,6061
2013,41110,Provozně ekonomická fakulta,7194,5510,5638,4281,3198,2674,2171,2152
2013,41210,Agronomická fakulta,2964,2222,2339,1772,1759,1465,1217,1205
2013,41310,Technická fakulta,2004,1800,1897,1704,1507,1427,1008,1006
2013,41320,Fakulta lesnická a dřevařská,1618,1238,1549,1181,1091,1041,693,691
2013,41330,Fakulta životního prostředí,1346,1182,1228,1102,948,915,767,762
2013,41340,Fakulta tropického zemědělství,362,233,341,226,233,226,186,186
2013,41900,celoškolská pracoviště,536,425,521,413,162,160,147,147
2013,43000,Mendelova univerzita v Brně,8327,7647,6253,5771,3909,3179,2974,2947
2013,43110,Provozně ekonomická fakulta,2836,2598,2350,2134,1188,962,904,896
2013,43210,Agronomická fakulta,1525,1525,1257,1257,737,610,597,597
2013,43310,Fakulta regionálního rozvoje a mezinárodních studií,1389,1104,1157,898,538,432,383,379
