"RID","Zkrác. název VŠ","Název organizace","Obec","Ulice","č.p.","WWW"
"28160","UTB ve  Zlíně","Fakulta logistiky a krizového řízení","Uherské Hradiště","Studentské nám. 1532","","www.flkr.utb.cz"
"31000","VŠE v Praze","Vysoká škola ekonomická v Praze","Praha 3 - Žižkov","nám. W. Churchilla 4","","www.vse.cz"
"31110","VŠE v Praze","Fakulta financí a účetnictví","Praha 3","nám. W. Churchilla 4","","nb.vse.cz/fak1"
"31120","VŠE v Praze","Fakulta mezinárodních vztahů","Praha 3","nám. W. Churchilla 4","","fmv.vse.cz"
"31130","VŠE v Praze","Fakulta podnikohospodářská","Praha 3","nám. W. Churchilla 4","","fph.vse.cz"
"31140","VŠE v Praze","Fakulta informatiky a statistiky","Praha 3","nám. W. Churchilla 4","","fis.vse.cz"
"31150","VŠE v Praze","Národohospodářská fakulta","Praha 3","nám. W. Churchilla 4","","nb.vse.cz/fak5"
"31160","VŠE v Praze","Fakulta managementu","Jindřichův Hradec","Jarošovská 1117/II","","www.fm.vse.cz"
"41000","ČZU v Praze","Česká zemědělská univerzita v Praze","Praha 6 - Suchdol","Kamýcká 129","","www.czu.cz"
"41110","ČZU v Praze","Provozně ekonomická fakulta","Praha 6 - Suchdol","Kamýcká 129","","www.czu.cz"
"41210","ČZU v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","Praha 6 - Suchdol","Kamýcká 129","","www.czu.cz"
"41310","ČZU v Praze","Technická fakulta","Praha 6 - Suchdol","Kamýcká 129","","www.czu.cz"
"41320","ČZU v Praze","Fakulta lesnická a dřevařská","Praha 6 - Suchdol","Kamýcká 1176","","www.lf.czu.cz"
"41330","ČZU v Praze","Fakulta životního prostředí","Praha 6 - Suchdol","Kamýcká 1176","","www.lf.czu.cz"
"41340","ČZU v Praze","Fakulta tropického zemědělství","Praha 6 - Suchdol","Kamýcká 129","","http://www.its.czu.cz/cs/"
"43000","MENDELU v Brně","Mendelova univerzita v Brně","Brno - Černá Pole","Zemědělská 1","","www.mendelu.cz"
"43110","MENDELU v Brně","Provozně ekonomická fakulta","Brno - Černá Pole","Zemědělská 1","","www.pef.mendelu.cz"
"43210","MENDELU v Brně","Agronomická fakulta","Brno - Černá Pole","Zemědělská 1","","www.af.mendelu.cz"
"43310","MENDELU v Brně","Fakulta regionálního rozvoje a mezinárodních studií","Brno - Černá Pole","Zemědělská 1","","www.frrms.mendelu.cz"
"43410","MENDELU v Brně","Lesnická a dřevařská fakulta","Brno - Černá Pole","Zemědělská 3","","www.ldf.mendelu.cz"
"43510","MENDELU v Brně","Zahradnická fakulta","Lednice na Moravě","Valtická ul. 337","","www.zf.mendelu.cz"
"51000","AMU v Praze","Akademie múzických umění v Praze","Praha 1","Malostranské nám. 12","","www.amu.cz"
"51110","AMU v Praze","Hudební a taneční fakulta","Praha 1","Malostranské nám. 13","","www.hamu.cz"
"51210","AMU v Praze","Divadelní fakulta","Praha 1","Karlova 26","","www.damu.cz"
"51310","AMU v Praze","Filmová a televizní fakulta","Praha 1","Smetanovo nábř. 2","","www.famu.cz"
"52000","AVU v Praze","Akademie výtvarných umění v Praze","Praha 7","U Akademie 4","","www.avu.cz"
"53000","VŠUP v Praze","Vysoká škola umělecko-průmyslová v Praze","Praha 1","nám. Jana Palacha 80","","www.vsup.cz"
"54000","JAMU v Brně","Janáčkova akademie múzických umění","Brno","Beethovenova 2","","www.jamu.cz"
"54510","JAMU v Brně","Hudební fakulta","Brno","Komenského nám. 6","","www.jamu.cz"
"54530","JAMU v Brně","Divadelní fakulta","Brno","Mozartova 1","","www.jamu.cz"
"55000","VŠP Jihlava","Vysoká škola polytechnická Jihlava","Jihlava","Tolstého 16","","www.vspj.cz"
"56000","VŠTE Č. Budějovice","Vysoká škola technická a ekonomická v Českých Budějovicích","České Budějovice","Okružní 10","","www.vstecb.cz"
"61000","AMBIS VŠ","AMBIS - vysoká škola, a.s.","Praha 5","Nárožní 2600/9","","www.bivs.cz"
"62000","EPI  Kunovice","Akademie HUSPOL, s.r.o.","Kunovice","Osvobození 699","","www.vos.cz/epi"
"63000","VŠH v Praze","Vysoká škola hotelová a ekonomická, s.r.o.","Praha 8","Svídnická 506","","www.ucp.cz"
"6B000","VŠ  ek. a manag.","Vysoká škola ekonomie a managementu, o.p.s.","Praha 5","Nárožní 2600/9a","","www.vsem.cz"
"6D000","University of NY","University of New York in Prague, s.r.o.","Praha 2","Londýnská 506/41","",""
"6K000","VŠ evrop. reg. studií","Vysoká škola evropských a regionálních studií, o.p.s.","České Budějovice","Žižkova 6","","www.vsers.cz"
"6N000","FA Písek","Filmová akademie Miroslava Ondříčka v Písku, o.p.s.","Písek","Lipová alej 2068","",""
"6P000","VŠ TV a sportu Palestra","Vysoká škola tělesné výchovy a sportu Palestra, spol s.r.o.","Praha 9 - Kbely","Slovačíkova 400/1","","www.palestra.cz"
"6Q000","VŠ Newton","Vysoká škola NEWTON, a.s.","Brno","Rašínova 103/2","","www.newton.university"
"6R000","Vysoká škola logistiky","Vysoká škola logistiky, o.p.s.","Přerov - město I","Palackého 1381/25","","www.vslg.cz"
"6S000","VŠ zdravotnická","Vysoká škola zdravotnická, o.p.s.","Praha 5","Duškova 7","","www.vszdrav.cz"
"72000","VŠ obchodní v Praze","Vysoká škola obchodní v Praze, o.p.s.","Praha 1","Spálená 14","","www.vso-praha.cz"
"73000","Vysoká škola Sting","Vysoká škola Sting, o.p.s.","Brno","Rašínova 103/2","","www.sting.cz"
"75000","Metropolitní univerzita","Metropolitní univerzita Praha, o.p.s.","Praha 10 - Strašnice","Dubečská 10","900","www.mup.cz"
"76000","U J.A.K.","Univerzita Jana Amose Komenského Praha s.r.o.","Praha 3","Roháčova 63","1148","www.ujak.cz"
"78000","Anglo-amer. VŠ","Anglo-americká vysoká škola, o.p.s.","Praha 1","Lázeňská 4","","www.aauni.edu"
